table_index,printname,c_entry,offset,eval,arity,pp_kind,precedence,rightassoc,access,sexptype,evaluates_arguments
161,round,do_Math2,10001,0,-1,PP_FUNCALL,PREC_FN,0,primitive,SPECIALSXP,False
162,signif,do_Math2,10004,0,-1,PP_FUNCALL,PREC_FN,0,primitive,SPECIALSXP,False
163,log,do_log,10003,0,-1,PP_FUNCALL,PREC_FN,0,primitive,SPECIALSXP,False
164,log10,do_log1arg,10010,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
165,log2,do_log1arg,10002,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
166,abs,do_abs,6,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
167,floor,do_math1,1,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
168,ceiling,do_math1,2,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
169,sqrt,do_math1,3,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
170,sign,do_math1,4,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
171,trunc,do_trunc,5,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
172,exp,do_math1,10,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
173,expm1,do_math1,11,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
174,log1p,do_math1,12,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
175,cos,do_math1,20,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
176,sin,do_math1,21,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
177,tan,do_math1,22,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
178,acos,do_math1,23,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
179,asin,do_math1,24,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
180,atan,do_math1,25,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
181,cosh,do_math1,30,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
182,sinh,do_math1,31,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
183,tanh,do_math1,32,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
184,acosh,do_math1,33,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
185,asinh,do_math1,34,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
186,atanh,do_math1,35,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
187,lgamma,do_math1,40,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
188,gamma,do_math1,41,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
189,digamma,do_math1,42,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
190,trigamma,do_math1,43,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
191,cospi,do_math1,47,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
192,sinpi,do_math1,48,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
193,tanpi,do_math1,49,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
194,atan2,do_math2,0,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
195,lbeta,do_math2,2,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
196,beta,do_math2,3,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
197,lchoose,do_math2,4,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
198,choose,do_math2,5,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
199,besselJ,do_math2,24,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
200,besselY,do_math2,25,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
201,psigamma,do_math2,26,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
202,Re,do_cmathfuns,1,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
203,Im,do_cmathfuns,2,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
204,Mod,do_cmathfuns,3,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
205,Arg,do_cmathfuns,4,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
206,Conj,do_cmathfuns,5,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
207,besselI,do_math3,43,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
208,besselK,do_math3,44,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
209,rchisq,do_random1,0,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
210,rexp,do_random1,1,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
211,rgeom,do_random1,2,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
212,rpois,do_random1,3,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
213,rt,do_random1,4,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
214,rsignrank,do_random1,5,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
215,rbeta,do_random2,0,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
216,rbinom,do_random2,1,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
217,rcauchy,do_random2,2,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
218,rf,do_random2,3,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
219,rgamma,do_random2,4,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
220,rlnorm,do_random2,5,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
221,rlogis,do_random2,6,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
222,rnbinom,do_random2,7,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
223,rnbinom_mu,do_random2,13,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
224,rnchisq,do_random2,12,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
225,rnorm,do_random2,8,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
226,runif,do_random2,9,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
227,rweibull,do_random2,10,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
228,rwilcox,do_random2,11,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
229,rhyper,do_random3,0,11,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
230,sample,do_sample,0,11,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
231,sample2,do_sample2,0,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
232,RNGkind,do_RNGkind,0,11,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
233,set.seed,do_setseed,0,111,5,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
234,sum,do_summary,0,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
235,min,do_summary,2,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
236,max,do_summary,3,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
237,prod,do_summary,4,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
238,mean,do_summary,1,11,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
239,range,do_range,0,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
240,cumsum,do_cum,1,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
241,cumprod,do_cum,2,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
242,cummax,do_cum,3,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
243,cummin,do_cum,4,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
244,cumvar,do_cum,5,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
245,as.character,do_asatomic,0,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
246,as.integer,do_asatomic,1,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
247,as.double,do_asatomic,2,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
248,as.numeric,do_asatomic,2,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
249,as.complex,do_asatomic,3,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
250,as.logical,do_asatomic,4,1,-1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
251,as.raw,do_asatomic,5,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
252,as.call,do_ascall,0,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
253,as.environment,do_as_environment,0,1,1,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
254,storage.mode<-,do_storage_mode,0,1,2,PP_FUNCALL,PREC_FN,0,primitive,BUILTINSXP,True
255,asCharacterFactor,do_asCharacterFactor,0,11,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
256,as.vector,do_asvector,0,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
257,paste,do_paste,0,11,4,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
258,paste0,do_paste,1,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
259,file.path,do_filepath,0,11,2,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
260,format,do_format,0,11,9,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
261,format.info,do_formatinfo,0,11,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
262,cat,do_cat,0,111,6,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
263,do.call,do_docall,0,211,3,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
264,str2lang,do_str2lang,0,11,1,PP_FUNCALL,PREC_FN,0,internal,BUILTINSXP,True
