table_index,name,c_entry,source_file,offset,sexptype,eval,arity,kernel,evaluation_policy,argument_policy,coercion_policy,vector_policy,index_policy,attribute_policy,dispatch_policy,effect_policy,replacement_policy,attribute_operation,matrix_operation
42,.addGlobHands,do_addGlobHands,src/main/errors.c,0,BUILTINSXP,111,5,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
43,.resetCondHands,do_resetCondHands,src/main/errors.c,0,BUILTINSXP,111,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
44,.signalCondition,do_signalCondition,src/main/errors.c,0,BUILTINSXP,11,3,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
45,.dfltStop,do_dfltStop,src/main/errors.c,0,BUILTINSXP,11,2,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
46,.dfltWarn,do_dfltWarn,src/main/errors.c,0,BUILTINSXP,11,2,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
47,.addRestart,do_addRestart,src/main/errors.c,0,BUILTINSXP,11,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
48,.getRestart,do_getRestart,src/main/errors.c,0,BUILTINSXP,11,1,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
49,.invokeRestart,do_invokeRestart,src/main/errors.c,0,BUILTINSXP,11,2,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
50,.addTryHandlers,do_addTryHandlers,src/main/errors.c,0,BUILTINSXP,111,0,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
51,geterrmessage,do_geterrmessage,src/main/errors.c,0,BUILTINSXP,11,0,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
52,seterrmessage,do_seterrmessage,src/main/errors.c,0,BUILTINSXP,111,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
