primitive,c_entry,offset,source_file,cir_body_found,cir_tokens
"dyn.unload","do_dynunload","0","src/main/Rdynload.c",true,90
"eapply","do_eapply","0","src/main/envir.c",true,588
"env.profile","do_envprofile","0","src/main/envir.c",true,56
"env2list","do_env2list","0","src/main/envir.c",true,546
"environment<-","do_envirgets","0","src/main/builtin.c",true,196
"environmentIsLocked","do_envIsLocked","0","src/main/envir.c",true,19
"environmentName","do_envirName","0","src/main/builtin.c",true,169
"fifo","do_fifo","0","src/main/connections.c",true,457
"file","do_url","1","src/main/connections.c",true,1504
"forcedBindingExpression","do_forcedBindingExpr","0","src/main/envir.c",true,31
"format.info","do_formatinfo","0","src/main/format.c",false,0
"formatC","do_formatC","0","src/main/format.c",false,0
"getBindingType","do_bindingType","0","src/main/envir.c",true,95
"getDotType","do_dotType","0","src/main/envir.c",true,91
"getLoadedDLLs","do_getDllTable","0","src/main/Rdynload.c",true,12
"getNamespaceRegistry","do_getNSRegistry","0","src/main/envir.c",true,10
"getNamespaceValue","do_getNSValue","0","src/main/envir.c",true,46
"getRegisteredNamespace","do_getRegNS","0","src/main/envir.c",true,96
"getRegisteredRoutines","do_getRegisteredRoutines","0","src/main/Rdynload.c",true,16
"getSymbolInfo","do_getSymbolInfo","0","src/main/Rdynload.c",true,26
"getVarsFromFrame","do_getVarsFromFrame","0","src/main/serialize.c",true,26
"getconst","do_getconst","0","src/main/eval.c",true,111
"growconst","do_growconst","0","src/main/eval.c",true,89
"gzcon","do_gzcon","0","src/main/connections.c",true,788
"gzfile","do_gzfile","0","src/main/connections.c",true,774
"importIntoEnv","do_importIntoEnv","0","src/main/envir.c",true,442
"inspect","do_inspect","0","src/main/inspect.c",true,83
"is.builtin.internal","do_is_builtin_internal","0","src/main/eval.c",true,62
"is.loaded","do_isloaded","0","src/main/dotcode.c",true,288
"isNamespaceEnv","do_isNSEnv","0","src/main/envir.c",true,24
"isRegisteredNamespace","do_getRegNS","1","src/main/envir.c",true,96
"isdebugged","do_debug","2","src/main/debug.c",true,200
"lazyLoadDBfetch","do_lazyLoadDBfetch","0","src/main/serialize.c",true,232
"lazyLoadDBflush","do_lazyLoadDBflush","0","src/main/serialize.c",true,92
"lazyLoadDBinsertValue","do_lazyLoadDBinsertValue","0","src/main/serialize.c",true,102
"list2env","do_list2env","0","src/main/envir.c",true,171
"load","do_load","0","src/main/saveload.c",true,177
"load.from.file","do_loadfile","0","src/main/saveload.c",true,98
"loadFromConn2","do_loadFromConn2","0","src/main/saveload.c",true,485
"loadInfoFromConn2","do_loadFromConn2","1","src/main/saveload.c",true,485
"lockBinding","do_lockBnd","0","src/main/envir.c",true,72
"lockEnvironment","do_lockEnv","0","src/main/envir.c",true,42
"ls","do_ls","1","src/main/envir.c",true,114
"makeActiveBinding","do_mkActiveBnd","0","src/main/envir.c",true,47
"makeLazy","do_makelazy","0","src/main/builtin.c",true,230
"match.call","do_matchcall","0","src/main/unique.c",true,507
"mget","do_mget","1","src/main/envir.c",true,430
"mkCode","do_mkcode","0","src/main/eval.c",true,65
"mkUnbound","do_mkUnbound","0","src/main/envir.c",true,98
"mmap_file","do_mmap_file","0","src/main/altclasses.c",true,203
"munmap_file","do_munmap_file","0","src/main/altclasses.c",true,69
"on.exit","do_onexit","0","src/main/builtin.c",true,349
"parent.env<-","do_parentenvgets","0","src/main/builtin.c",true,197
"parse","do_parse","0","src/main/coerce.c",false,0
"parseLatex","do_parseLatex","0","",false,0
"parse_Rd","do_parseRd","0","",false,0
"pipe","do_pipe","0","src/main/connections.c",true,463
"pos.to.env","do_pos2env","0","src/main/envir.c",true,150
"putconst","do_putconst","0","src/main/eval.c",true,137
"qr_coef_cmplx","do_lapack","303","src/main/lapack.c",true,53
"qr_coef_real","do_lapack","300","src/main/lapack.c",true,53
"qr_qy_cmplx","do_lapack","304","src/main/lapack.c",true,53
"qr_qy_real","do_lapack","301","src/main/lapack.c",true,53
"readline","do_readln","0","src/main/scan.c",true,257
"recordGraphics","do_recordGraphics","0","src/main/engine.c",true,273
"reg.finalizer","do_regFinaliz","0","src/main/memory.c",true,105
"registerNamespace","do_regNS","0","src/main/envir.c",true,64
"remove","do_remove","0","src/main/envir.c",true,280
"save","do_save","0","src/main/saveload.c",true,465
"save.to.file","do_savefile","0","src/main/saveload.c",true,162
"saveToConn","do_saveToConn","0","src/main/saveload.c",true,652
"scan","do_scan","0","src/main/scan.c",true,1460
"search","do_search","0","src/main/envir.c",true,172
"serializeInfoFromConn","do_unserializeFromConn","1","src/main/serialize.c",true,256
"serializeToConn","do_serializeToConn","0","src/main/serialize.c",true,355
"serializeb","do_serialize","1","src/main/serialize.c",true,145
"serverSocket","do_serversocket","0","src/main/connections.c",true,176
"shell.exec","do_shellexec","0","src/gnuwin32/extra.c",true,64
"socketAccept","do_sockconn","1","src/main/connections.c",true,643
"socketConnection","do_sockconn","0","src/main/connections.c",true,643
"standardGeneric","do_standardGeneric","0","src/main/objects.c",true,142
"substitute","do_substitute","0","src/main/coerce.c",true,200
"sys.call","do_sys","2","src/main/context.c",true,452
"sys.calls","do_sys","5","src/main/context.c",true,452
"sys.frame","do_sys","3","src/main/context.c",true,452
"sys.frames","do_sys","6","src/main/context.c",true,452
"sys.function","do_sys","9","src/main/context.c",true,452
"sys.nframe","do_sys","4","src/main/context.c",true,452
"sys.on.exit","do_sys","7","src/main/context.c",true,452
"sys.parent","do_sys","1","src/main/context.c",true,452
"sys.parents","do_sys","8","src/main/context.c",true,452
"traceback","do_traceback","0","src/main/errors.c",true,46
"tryWrap","do_tryWrap","0","src/main/altclasses.c",true,21
"undebug","do_debug","1","src/main/debug.c",true,200
"unlockBinding","do_lockBnd","1","src/main/envir.c",true,72
"unregisterNamespace","do_unregNS","0","src/main/envir.c",true,93
"unserializeFromConn","do_unserializeFromConn","0","src/main/serialize.c",true,256
"unz","do_unz","0","src/main/connections.c",true,374
"url","do_url","0","src/main/connections.c",true,1504
"wrap_meta","do_wrap_meta","0","src/main/altclasses.c",true,47
"xzfile","do_gzfile","2","src/main/connections.c",true,774
"zstdfile","do_gzfile","3","src/main/connections.c",true,774
"~","do_tilde","0","",false,0
